title,description,category_raw,priority_raw,resolution,source_file
Security Concern: Data Breach,"Hello Customer Support, I would like to inform you about a potential data breach that happened. My concern is that the breach might be due to outdated software, even though I have tried updating it with patches and firewall adjustments, the problem still exists. I am worried about the security of my information and need your help to address this. Can you guide me on what to do next? Also, could you give me advice on how to update my software and improve my security to avoid such breaches in the future? Thank you for your prompt attention to this. I am expecting a response from you soon.",Human Resources,medium,"Hello [Name], we regard data breaches as a serious matter and are ready to assist you. Please share more details about the breach and your current software. We will contact you at [Phone Number] to discuss the next steps.",dataset-tickets-multi-lang-4-20k.csv
Digital Strategies For Brand Expansion,I am keen to learn more about your digital strategies for brand expansion and the associated services. Could you please share more details about the services you provide?,Customer Service,low,"Dear <name>, thank you for expressing interest in our digital strategies for brand expansion services. We offer a variety of services such as social media management, content creation, and online advertising. I would be glad to go into further detail about these services. Please let me know if you would like to schedule a call at <tel_num> for a more detailed discussion.",dataset-tickets-multi-lang-4-20k.csv
An Unexpected System Crash During Data Analysis,"Customer Support,<br><br>There was an unexpected system crash during our data analysis process, which has disrupted our investment optimization efforts. The issue might be due to software compatibility or a memory overflow during peak usage. Our team has attempted to resolve the issue by restarting affected applications and clearing caches, but unfortunately, the problem still persists. We kindly request your assistance in identifying the root cause and providing a solution to prevent such incidents in the future. Please let us know how we can assist.",Technical Support,high,"For further assistance, please contact us at <tel_num>.",dataset-tickets-multi-lang-4-20k.csv
System Performance Requirements,"Dear Customer Support, I am writing to inquire about the system specifications needed for the optimal performance of your project management SaaS platform. Could you kindly provide detailed information regarding the recommended hardware and software specifications? This should include the operating system, processor speed, memory, and browser compatibility. Additionally, I would greatly appreciate any extra advice or recommendations you might have to ensure the best possible performance. I look forward to your prompt response and utilizing your platform to its fullest extent. Thank you for your time and assistance. I have reviewed the FAQ section, but did not find the specific details I needed. Best regards, [Your Name]",Technical Support,high,"Dear [Your Name], thank you for contacting our customer support team regarding the system requirements for our project management SaaS platform. We value your interest in maximizing the performance of our platform. For optimal performance, we recommend a minimum of 4GB of RAM, a processor speed of 2.5GHz, and a 64-bit operating system, such as Windows 10 or macOS High Sierra or later. In terms of browser requirements, our platform is compatible with the latest versions of Google Chrome, Mozilla Firefox, and Microsoft Edge. Moreover, we advise using a stable internet connection with a minimum speed of 10 Mbps for a seamless experience. For more detailed information, I can provide a comprehensive system requirements document. If you are interested, I can also arrange a call at a time that suits you at [tel_num] to discuss further and offer any additional tips or recommendations for achieving the best performance. Please let me know if this is something you are interested in and we can schedule the call at your preferred time.",dataset-tickets-multi-lang-4-20k.csv
Trouble with Data Encryption,"The process of encrypting data has encountered difficulties due to an outdated software vulnerability. After restarting the servers and applying the latest patches, the problem still exists. Assistance is requested to address this concern.",Product Support,high,"Hello <name>, we appreciate you contacting us about the trouble with data encryption. We apologize for the inconvenience this has caused and are here to help you resolve it. Despite restarting the servers and updating the patches, the issue continues, suggesting a more complex technical issue might be at play. To gain a better understanding of the situation, could you provide us with details about the software and patches you have updated, as well as any error messages you are encountering? This information will aid us in providing a more precise solution. If needed, we may require a call to delve deeper into the issue. Please let us know a convenient time for a call, and we will contact you at <tel_num>.",dataset-tickets-multi-lang-4-20k.csv
Issue with Data Synchronization,"A critical error was encountered during the data syncing process for Google Cloud Platform Redis 6.2, due to API configuration issues and network disruptions. API credentials were checked, and services were restarted.",IT Support,medium,"<name> received an email regarding the error in the data syncing process for Google Cloud Platform Redis 6.2. An investigation is needed, and we would like to know more about the API configuration and network setup. Please provide the error message for reference. We need to schedule a call at <tel_num> to discuss and find a solution. We are happy to assist in resolving the issue as soon as possible.",dataset-tickets-multi-lang-4-20k.csv
Assistance Required with Data Encryption Issue,"I am writing to report an issue with data encryption. The encryption process failed unexpectedly, and I suspect it may be due to an outdated TYPO3 plugin. I have already attempted to update the plugin and restart the system, but the problem continues. Any help you can offer would be greatly appreciated. Please let me know if there are any additional steps I should take or if you need further details from me. I am looking forward to your response. Thank you for your time and support.",Technical Support,medium,I will look into the encryption issue and the TYPO3 plugin. Please provide your account details and a convenient time for a call to discuss further. You can reply to this email or I can contact you at the registered email address.,dataset-tickets-multi-lang-4-20k.csv
Problem with System Crash,"Dear Customer Support, we are encountering a system crash that is hindering access to essential tools across multiple platforms. The issue may have arisen from a software update conflict. We have already tried restarting the affected devices and relogging in, but the problem still persists. We would greatly appreciate it if you could look into this matter urgently and provide a solution as soon as possible. Please inform us if you need any additional information. We look forward to hearing back from you soon. Thank you for your assistance with this matter.",IT Support,high,"We will investigate the system crash issue. Please provide details about the software update and any error messages. If necessary, we may need to contact you at <tel_num> to discuss the issue further.",dataset-tickets-multi-lang-4-20k.csv
Medical Data Breach Due to Firewall Issues,"An unexpected medical data breach happened due to inadequate firewall rules, and unauthorized access was detected yesterday. Although I have performed McAfee scans and updated Drupal, the problem continues. I require support to address this issue.",Human Resources,low,"I am here to assist you with the medical data breach. To better help, I need additional information regarding your current setup and the steps you have already taken. Please provide details about your firewall configuration and the McAfee scans you have conducted. While updating Drupal is a positive step, we need to delve deeper to identify the root cause of the unauthorized access. Let's schedule a call to discuss the issue in more detail and work together to resolve it promptly to ensure the security of your medical data.",dataset-tickets-multi-lang-4-20k.csv
Boosting Brand Expansion Across Various Products Online,I am seeking strategies to enhance brand expansion for multiple products. Could you offer some advice?,Technical Support,high,"Certainly, I can offer guidance on enhancing brand expansion for multiple products online. Please share more details about your products and your current online presence. I would be glad to assist you further.",dataset-tickets-multi-lang-4-20k.csv
Inquiry on Billing Options for MongoDB Integration,"Hello Customer Support, I'm writing to seek information on the billing plans for integrating MongoDB into our project management SaaS platform. Could you provide me with details on the available plans and their costs? It would also be helpful to know if there are any discounts or promotions currently available. Furthermore, could you inform me about any limitations or restrictions when using MongoDB with your platform? I look forward to your response and appreciate your assistance. Kindly respond at your earliest convenience.",Billing and Payments,medium,"Hello [name], thank you for your inquiry regarding MongoDB billing options. We have several plans with varying costs; please refer to our website for detailed information. We offer discounts for long-term agreements and promotions for new customers. To discuss your specific requirements further, I propose we schedule a call at [phone number] at a time that suits you.",dataset-tickets-multi-lang-4-20k.csv
Assistance Required for Figma Integration,"Dear Customer Support, we are looking for guidance on integrating Figma with Adobe Creative Cloud to enhance design collaboration within our team. We are particularly interested in learning about the benefits of this integration and how it can improve our workflow. Could you provide us with step-by-step instructions or recommend any resources that could help us get started? Your assistance in this matter would be greatly appreciated. We look forward to your prompt response. Thank you for your time and support.",Technical Support,medium,You can contact us at <tel_num> for assistance.,dataset-tickets-multi-lang-4-20k.csv
Urgent Assistance Needed for Security Breach of Medical Data,"Dear Customer Support, I am reaching out to highlight a critical issue regarding the security of medical data. I recently became aware of a serious leak involving sensitive personal health information through unsecured devices, which is a major concern for the privacy and confidentiality of patients. Based on my initial checks, it seems that the problem might be due to a lack of appropriate encryption and access controls. Despite updating the antivirus software and reviewing firewall settings, the problem remains unresolved. I kindly request your urgent investigation and a prompt solution to prevent future breaches. If you need any further information from me, please feel free to contact me at the provided email. I am looking forward to your prompt response. Sincerely, [Your Name]",Product Support,high,"Dear [Your Name], We are addressing the reported security breach involving medical data with immediate action. For a thorough investigation, we need additional details about the affected devices and the specifics of the leaked information. Could you please specify the types of devices involved and the approximate date the leak was discovered? Additionally, we will contact you at [tel_num] to discuss this further and arrange a detailed follow-up if needed. Your swift response will aid us in resolving this issue swiftly and preventing further breaches.",dataset-tickets-multi-lang-4-20k.csv
Problem with Data Encryption Not Working Properly,"Respected customer support, I am facing difficulties with data encryption. Recently, the encryption process did not complete successfully, which might be due to my software being out of date. I have tried to fix the issue by restarting my servers and revising the configurations, yet the problem still exists. I kindly request your help to get this issue resolved as soon as feasible. Could you please guide me through the necessary actions? Your timely response would be much appreciated. Thanks for your assistance.",Product Support,medium,"Hello <name>,<br>Thank you for reaching out to us about the data encryption problem you are encountering. We regret the inconvenience this has caused and are ready to help you solve it right away.<br>In order to better address your issue, could you provide us with details about the error message you are seeing and your current software version? <br>In the meantime, we suggest updating your software to the latest version and ensuring that your system complies with the required specifications for data encryption. <br>If the problem continues, we might need to schedule a call to further investigate the issue. Please let us know a convenient time for you to talk, and we will arrange a call at <tel_num>. <br>Could you also confirm your account details, including your <acc_num>, so we can locate your account and offer you personalized support?<br>We value your patience and cooperation and look forward to resolving the issue quickly.<br>Thank you for your understanding and we will be in touch soon.",dataset-tickets-multi-lang-4-20k.csv
Annual Subscription Pricing Information,I would like to know more about the pricing options for annual subscriptions. Could you give me detailed information on the available plans and their costs?,Billing and Payments,medium,"Dear <name>, we provide various annual subscription plans with different pricing. Our standard plan begins at <price> and includes basic features, whereas our premium plan is at <price> and comes with extra features. I can provide you with a comprehensive breakdown of each plan and their respective prices. Alternatively, I can call you at your convenience to discuss further. Would you prefer that?",dataset-tickets-multi-lang-4-20k.csv
Importance of Medical Data Security,"Customer Support, please draw attention to the critical importance of implementing enhanced security protocols to safeguard medical data, given the increasing number of cyber attacks on healthcare institutions. It is crucial to take proactive measures to protect sensitive patient information. This can be achieved by implementing robust firewalls, encrypting data, and conducting regular security audits. Additionally, training hospital staff in data security practices is essential to help prevent breaches.",Technical Support,high,"Dear [name], thank you for reaching out to us regarding the importance of medical data security. We take the protection of sensitive patient information very seriously and appreciate your suggestions for implementing enhanced security protocols. We will review our current security measures and consider implementing robust firewalls, data encryption, and regular security audits. We recognize the importance of providing training to hospital staff on data security practices. We would like to discuss this matter and provide a plan of action.",dataset-tickets-multi-lang-4-20k.csv
Payment Choices,Could you please list the different payment options for the subscription plans?,Billing and Payments,high,We provide several payment options.,dataset-tickets-multi-lang-4-20k.csv
Integration Details,"Seeking clarification on integration capabilities between our customer support system and your SaaS project management platform, specifically regarding Subversion. Could you provide detailed information on how these systems work together? I am particularly interested in learning about the version control and collaboration features supported. I look forward to your response and appreciate your assistance in this matter.",Technical Support,medium,"Will provide comprehensive details on Subversion integration for our SaaS, including version control and collaboration features, and invite you to join our discussion for more information.",dataset-tickets-multi-lang-4-20k.csv
Health Data Breach Resulting from Unapproved Access Events,Reinforced firewalls and antivirus software post the security incident.,IT Support,medium,"Dear <name>, we appreciate you bringing to our attention the health data breach due to unauthorized access. We are concerned and regret any trouble this may have caused. You have acted correctly by enhancing firewalls and antivirus software following the breach. Nevertheless, we need to delve deeper to prevent similar issues in the future. Please share more specifics about the breach, such as the date and time it happened, and any other pertinent details. We will reach out to you at <tel_num> for further discussion if necessary.",dataset-tickets-multi-lang-4-20k.csv
Digital Expansion,Can you offer details on how digital strategy services could influence brand growth?,Customer Service,medium,"Yes, we can help",dataset-tickets-multi-lang-4-20k.csv
Detected Unauthorized Access to Medical Data,"There have been detected unauthorized access attempts to the hospital's medical data system. These may have occurred due to outdated security protocols. To date, we have reinforced password policies and monitored access logs for any unusual activity. We kindly request your assistance in conducting a thorough security audit and implementing additional measures to prevent future incidents.",IT Support,high,Assist in immediate audit,dataset-tickets-multi-lang-4-20k.csv
Unusual billing charges appeared unexpectedly once more today,Examined account configurations and went over the billing statements,Billing and Payments,medium,I have received your message concerning unexpected billing charges on your account <acc_num>. Please allow me to look into this matter more closely. Could you kindly furnish additional information regarding the charges you are encountering? I will thoroughly review your account and invoices to identify the cause of the discrepancy and work towards a resolution.,dataset-tickets-multi-lang-4-20k.csv
Problem with Billing Product Integration,Noticing discrepancies in billing for multiple products. The issue might be related to the recent system update integration. Efforts to reconcile transactions have not resolved the problem.,Billing and Payments,high,"Investigating the issue with billing product integration for account <acc_num>. To better understand the problem, could you please provide details on the discrepancies and any issues related to the recent system update integration? I would like to schedule a call at <tel_num> to discuss this further; let me know what time would be most convenient for you.",dataset-tickets-multi-lang-4-20k.csv
Security Concern in Hospital System,An unauthorized access attempt was detected in the hospital's system. This incident might have occurred due to outdated security protocols. We have reviewed the access logs and need to reinforce password policies. Assistance is required to ensure the security system.,Returns and Exchanges,low,We take security issues very seriously and will assist in reviewing and updating the security protocols. Please provide your contact information so we can call at a convenient time to discuss the steps needed to ensure the security system.,dataset-tickets-multi-lang-4-20k.csv
Strategies to Boost Brand for Tech Products,"Hello Customer Support, I am writing to seek information on digital strategies that can enhance brand growth for technology products. Given the highly competitive digital environment, a robust online presence is essential for tech companies to maintain a competitive edge. I am particularly interested in understanding the effective digital strategies that can increase brand visibility and sales for tech products. Some of the areas I am keen to explore include social media marketing, search engine optimization, and influencer partnerships. I believe a well-crafted digital strategy can significantly impact the success of a tech product. Could you please share any insights or recommendations you have on this? Additionally, I would like to know more about the role of content marketing in supporting brand growth for tech products. How can tech companies produce engaging and relevant content for their target audience? What are the best practices for evaluating digital marketing campaigns for tech products? I look forward to your response and would appreciate any guidance you can offer. Thank you for your support.",Returns and Exchanges,high,We are ready to discuss digital strategies for your tech product. Please let us arrange a call at a convenient time for you.,dataset-tickets-multi-lang-4-20k.csv
Server Crash Report,The server crashed unexpectedly. It may have been due to insufficient resources. Steps taken include restarting the server and reviewing logs. Immediate assistance is needed to resolve this issue. Please instruct me on the next steps.,Technical Support,high,Thank you for your report. Kindly supply the server log details for further analysis. I will contact you at <tel_num> to discuss the next steps for resolving this issue promptly.,dataset-tickets-multi-lang-4-20k.csv
Report on Recent Incident,"Dear customer support team, I am writing to report an incident with our SaaS platform that crashed unexpectedly. It appears to be caused by an incompatible McAfee update. I have already tried restarting the server, checking the logs, and disabling the antivirus. We are currently investigating the issue and working towards a resolution. If you need any additional information from me, please let me know. Thank you for your assistance.",Technical Support,high,"Dear [Name],\nThank you for bringing to our attention the incident with the SaaS platform, which was triggered by an incompatible McAfee update. We appreciate the steps you have already taken to address the issue. If you have any further questions or concerns, please do not hesitate to contact us at [Phone Number] or reply to this email. We will keep you updated on the resolution process and will reach out if we require any further information from you.",dataset-tickets-multi-lang-4-20k.csv
Support Request for Network Outage,The network outage has affected the data analysis tools used for investments. It might be due to a misconfiguration in the Google Nest Wifi Router. Restarting the router and rechecking connections were attempted to resolve the issue. I need assistance to resolve the problem as soon as possible.,Technical Support,high,"Acknowledging your email regarding the network outage that has disrupted the data analysis tools. I understand you have tried restarting the router and rechecking connections to resolve the issue. I would like to assist you in resolving it as soon as possible. To better understand the issue, could you please provide details about your network setup and any exact error messages you are seeing? Additionally, I would like to schedule a call to troubleshoot the issue with the Google Nest Wifi Router. I would be available at your convenience.",dataset-tickets-multi-lang-4-20k.csv
Request for Information on Digital Strategies for Brand Growth Services,Could you provide more details about digital strategies?,Billing and Payments,medium,"<name>, thank you for your inquiry regarding digital strategies for brand growth services. We offer customized solutions to enhance your online presence and drive business growth. We would be happy to provide tailored information based on your specific needs and goals. Please let us know a suitable time to schedule a call for further discussion, or you can send general information via email at <tel_num>.",dataset-tickets-multi-lang-4-20k.csv
Problem with SaaS Dashboard Loading,"I am contacting you to report an issue where the SaaS dashboard is not loading. I believe that conflicting integrations could be the root of the problem. I have already restarted services, cleared the cache, and reviewed the logs, but the issue still persists. I would greatly appreciate any support in addressing this. Please inform me if you need any additional details from me to help diagnose the problem.",Technical Support,low,"Dear <name>, thank you for reporting the issue with the SaaS dashboard loading. I appreciate the troubleshooting steps you have already implemented. To better assist you, could you please provide more information regarding the suspected conflicting integrations? Additionally, it would be helpful to know the specific error message you receive when the dashboard fails to load. If necessary, I can arrange a call to discuss this further. Please let me know a convenient time to reach you at <tel_num>. I will do my best to resolve this issue promptly.",dataset-tickets-multi-lang-4-20k.csv
Support Request for Critical Issue,"Dear Support Team, we are reporting a significant issue that has affected multiple products, involving both software and hardware integrations. This issue has resulted in system disruptions, which we believe are due to recent software updates conflicting with existing configurations and dependencies. We have tried restarting the affected systems, verified the configurations, and reviewed the logs to isolate the issue, but the problem persists and requires immediate assistance to resolve. Please let us know the next steps.",Product Support,high,Please contact us at <tel_num> to discuss the issue and determine the next steps to resolve the system disruptions.,dataset-tickets-multi-lang-4-20k.csv
Problem with Medical Data Security During VR Training,"A medical data leak occurred during a VR training session due to inadequate data encryption. Despite attempts to restart the systems and review the encryption configurations, the issue remains unresolved. I urgently need your help to address this to avoid future data breaches.",Product Support,high,"I am investigating the medical data leak that happened during your VR training. For better assistance, could you share the specific encryption settings you've examined? I will arrange a call at your earliest to resolve this issue.",dataset-tickets-multi-lang-4-20k.csv
Inquiry About Video Conferencing Integration with Ulysses,"Dear Customer Support,\nI am writing to inquire about the possibility of integrating a video conferencing system with Ulysses to enhance project meetings and collaboration features. As a frequent user of Ulysses for my writing and project management needs, I believe that a seamless integration would significantly improve my productivity and teamwork experience.\nCurrently, I find myself shifting between multiple platforms to manage projects and communicate with my team. This not only wastes time but also leads to inefficiencies and potential miscommunications. By integrating a video conferencing system into Ulysses, I envision a more streamlined workflow where I can effortlessly schedule and conduct virtual meetings, share project updates, and collaborate in real-time with my team members.\nSuch integration would offer numerous benefits, including enhanced collaboration, reduced meeting setup time, and improved overall project management. It would also allow for more flexible and remote work options, which are increasingly important in today's work environment.\nI would appreciate it if you could provide more information on the feasibility of this integration, any existing solutions or plugins that might achieve this functionality, and what steps I could take to explore this option further.\nThank you for your time and assistance in this matter. I look forward to hearing from you soon.\nBest regards,",IT Support,high,"Dear <name>,\nThank you for reaching out to our customer support team with your inquiry about integrating a video conferencing system with Ulysses. We appreciate your feedback and understand the potential benefits of such integration for enhancing project meetings and collaboration features.\nTo explore this option further, we would like to gather more information about your specific requirements and preferences. Could you please provide us with more details about the video conferencing tools you are currently using and what features you would like to see integrated with Ulysses?\nWe will review your request and check if there are any existing solutions or plugins that might achieve this functionality. If necessary, we may reach out to you at <tel_num> to discuss this matter further. We will also provide you with information on any potential next steps and possible solutions.\nThank you for your patience and cooperation. We look forward to assisting you with this matter.\nBest regards,\nCustomer Support Team",dataset-tickets-multi-lang-4-20k.csv
Investment Analytics Platform Experienced Unexpected Crash,"Hello Customer Support, I am contacting you to report a problem with the investment analytics platform. The platform has suddenly stopped working, and I suspect it is because of low system resources. Despite restarting my system and ensuring all updates are installed, the issue still exists. I hope you can investigate and provide a resolution at your earliest convenience. The crash happened unexpectedly, and I was currently working on important data, which is concerning as it could happen again. I would like to know how to prevent this from happening and would appreciate any additional troubleshooting steps you recommend or further information you might need from me. Please respond quickly regarding this matter. Thanks for your help and time.",Customer Service,medium,"Hello <name>, thank you for bringing to our attention the issue with the investment analytics platform. We will look into this and provide a solution promptly. Could you please share your <acc_num> and more details about the system resources that you believe are insufficient? We may need to contact you at <tel_num> to discuss further troubleshooting steps if necessary.",dataset-tickets-multi-lang-4-20k.csv
Assistance with Data Analytics,Is it possible to get information on data analytics services that can help optimize investments? I would appreciate learning about the tools and techniques used to analyze data and provide insights for investment decisions. Thank you for your time and assistance.,Customer Service,medium,I would be happy to discuss data analytics services and send you information on the tools and techniques used. It's convenient to call and explain the details in more depth.,dataset-tickets-multi-lang-4-20k.csv
Problem with subscription fees,"I am encountering unanticipated charges across various subscription plans. Despite reaching out to support and examining my account details and invoices, the issue remains unresolved. I believe there could be an error in my billing configurations or an incorrect combination of products. Could you please investigate this and offer a resolution without delay? Kindly inform me if you require any extra details from me to address this problem.",Billing and Payments,high,"I will examine your account settings and billing records to pinpoint the reason for the unexpected charges. Please share your account number along with the specific subscription plans involved, and I might need to contact you at <tel_num> to delve deeper into this issue.",dataset-tickets-multi-lang-4-20k.csv
Security Measures for Medical Data in RapidMiner and AWS Integration,What security measures are advised for medical data when using RapidMiner and AWS together?,Product Support,medium,"For medical data in RapidMiner and AWS integration, we advise implementing robust security measures such as encryption, access controls, and auditing. Enable HTTPS and SSL/TLS for data transmission, and use IAM roles and permissions to restrict access. Additionally, consider using AWS services like AWS Cognito and Inspector to enhance security. We can discuss further details and provide customized recommendations if needed. Would you like me to call you at your convenience to explore this further?",dataset-tickets-multi-lang-4-20k.csv
Problem with Investment Predictions Tool,"Hello Customer Support, I am contacting you to report an issue with our investment predictions platform. Lately, the software has been experiencing technical difficulties, causing inaccurate predictions. We believe the cause might be due to recent software updates not being compatible with the system, which has not been resolved after several attempts to fix it. Could you please examine this matter and offer a solution promptly? We would also appreciate any additional details you might require from us. We are eagerly waiting for your response and are hopeful that your support will help us return the predictions system to its normal functioning state.",Returns and Exchanges,medium,I will look into the problem with your predictions tool. Please send over the update logs and configuration details for further examination. I will reach out to you at <tel_num> to discuss the next steps.,dataset-tickets-multi-lang-4-20k.csv
Issue with Data Analytics Platform,"I would like to report a problem with the data analytics platform that abruptly stopped working. It could be caused by a lack of storage space or conflicting software. I have restarted UniFi and reviewed the RAID-Controller logs, but the issue still exists. I would be grateful if you could examine this and offer a solution promptly. Please inform me if you require additional details to resolve this issue. The platform is essential for our operations, and any interruptions affect our productivity. Thank you for your time and help.",Technical Support,medium,"Dear <name>, we are sorry to hear that the data analytics platform has experienced a crash, and we appreciate you bringing this to our notice. You have already taken steps by restarting UniFi and reviewing the RAID-Controller logs. To help us investigate further, could you provide us with the specific error messages you encountered and the precise actions you took prior to the crash? If necessary, we can schedule a call to discuss this in more detail. Please let me know a convenient time to contact you at <tel_num>. We will strive to resolve this issue quickly to reduce downtime and minimize its impact on your operations, concerning your <acc_num>.",dataset-tickets-multi-lang-4-20k.csv
Support Concerning Investment Recommendations,"Dear Customer Support,\n\nI am contacting you to address a problem I have encountered with the investment recommendations provided by the data analytics tool. It seems these recommendations might be inaccurate, possibly due to a tool malfunction.\n\nI have already attempted to resolve the issue by restarting the system, verifying the data sources, and confirming the accuracy of my inputs, but the problem still exists.\n\nI would be very grateful if you could examine this situation and provide a solution without delay. Please inform me if there are any further actions I should undertake or if you require more details from me.\n\nThank you for your attention to this matter.\n\nBest regards,\n[Your Name]",Returns and Exchanges,low,"Dear [Your Name], thank you for getting in touch regarding the discrepancies in the investment recommendations from the data analytics tool. We regret the inconvenience this has caused. For a thorough investigation, could you please furnish us with a comprehensive account of the incorrect recommendations and the expected results? We might need to contact you for further details; could you be available for a call at your convenience? Please suggest a suitable time to reach you at <tel_num>. We will strive to address the issue promptly.",dataset-tickets-multi-lang-4-20k.csv
Security Measures for Medical Information Storage,"Hello customer support, I am contacting you to request details on the suggested security measures for storing medical information on Windows and AWS platforms. Could you kindly share the best practices required to guarantee the privacy, undistorted nature, and accessibility of sensitive medical data? It would be greatly helpful if you could include information on encryption techniques, security access controls, and adherence to regulatory standards like HIPAA. I am eager to hear from you soon. Thank you for your support on this topic.",Billing and Payments,medium,"Hello <name>, we advise using encryption methods and access controls to maintain the privacy and integrity of medical information on Windows and AWS. We will provide you with comprehensive information on best practices and compliance with regulatory standards such as HIPAA. Please expect a call from me at <tel_num> for a detailed discussion.",dataset-tickets-multi-lang-4-20k.csv
Trouble with JIRA Integration,"Unexpected failure in the JIRA Software integration has been reported. It could be caused by an incompatible Elasticsearch version. Despite restarting the Node.js server and verifying the API credentials, the issue still exists.",Technical Support,low,"Thank you for your message about the JIRA integration issue. To proceed, could you share the current Elasticsearch version and any error messages you are encountering? This information will assist me in identifying the problem and offering a solution for your JIRA Software integration.",dataset-tickets-multi-lang-4-20k.csv
Digital marketing tools malfunctioned unexpectedly,"The tools have stopped working properly, and there might be an issue with the API key",IT Support,medium,"Hello <name>, we regret to inform you about the malfunction of our digital marketing tools. We suspect that the problem could be related to the API key you mentioned. Please provide us with additional details regarding the error message you are encountering. We will conduct a thorough investigation and revert to you with a solution. Should further discussion be needed, we can arrange a call at <tel_num>. Kindly inform us of a suitable time for you.",dataset-tickets-multi-lang-4-20k.csv
Proposed Integration of Wave Audio Tool,We propose integrating the Wave audio tool with the Trackball system to enhance project management functionalities and collaboration.,Product Support,medium,"Dear [name], we value your suggestion to integrate the Wave audio tool with the Trackball system for improved project management features and collaboration. As we are always seeking to enhance our offerings, we will certainly consider your proposal. In order to better grasp your requirements, could you provide more detailed information about the specific features you desire? Additionally, we would appreciate it if you could elaborate on the enhanced features and collaborative methods you envision. Upon receiving your feedback, we will evaluate your input and explore potential implementation strategies. If necessary, we can arrange a call at [tel_num] to further discuss this matter at a time that is convenient for you.",dataset-tickets-multi-lang-4-20k.csv
Concern Regarding Malfunction in Virtual Meeting Software,The virtual meeting software experienced technical difficulties during the session,Technical Support,high,We sincerely apologize for the problems you encountered with our virtual meeting software. Could you share more specific details about the malfunction so we can assist you better?,dataset-tickets-multi-lang-4-20k.csv
Incident Report: Dashboard Crash,"Hello Customer Support, I hope this message finds you well. I am reaching out to report a problem with our data analytics dashboard. The dashboard crashed unexpectedly, and I suspect it might be due to software incompatibility. I have restarted the system and checked for updates, yet the issue remains unresolved. I would be grateful if you could look into this situation and offer a solution at your earliest convenience. Please inform me if you need any additional details from me. Thanks for your attention and support.",Technical Support,high,"Dear [Name], thank you for bringing the crash issue with your data analytics dashboard to our attention. We apologize for the difficulties you are experiencing. To assist in further investigating the problem, could you kindly provide us with the precise error message you are encountering and the version of the software you are currently using? If necessary, we can arrange a call at [Phone Number] to discuss the issue in more detail and provide a timely solution for your account number [Account Number].",dataset-tickets-multi-lang-4-20k.csv
Issue with Investment Data Analytics Tools,"Hello Customer Support, I hope this message finds you well. I am reaching out to report a problem with our investment data analytics tools. The tools are currently not functioning, and we believe it could be a result of software incompatibility. Despite restarting the systems and updating the software, the issue remains unresolved. We would appreciate it if you could look into this and provide a timely solution. As these tools are crucial for our daily operations, any downtime could lead to significant disruptions. Additionally, could you offer advice on how to avoid similar issues in the future? Thank you for your swift response. I await your early reply. Sincerely, [Your Name]",Human Resources,low,"Hello [Your Name], thank you for bringing the issue with your investment data analytics tools to our attention. I will look into the possibility of software incompatibility. Could you please share more details about your system configuration and the software versions you are using? I will reach out to you at [tel_num] to discuss further and provide a solution as well as guidelines to prevent such issues in the future. Thank you for your patience. We value your feedback and look forward to assisting you. Best regards, [Support Team Name]",dataset-tickets-multi-lang-4-20k.csv
Enquiry on SAP ERP Central Component 6.0 Pricing,"Respected Customer Support, I am writing to request detailed pricing information for the SAP ERP Central Component 6.0 licensing. I would be grateful if you could furnish me with the latest pricing details, including any applicable discounts or promotional offers. Could you also elucidate what the licensing fee encompasses, such as support and maintenance expenses? Furthermore, are there any extra charges related to implementation, customizations, or integration with other systems? I am eagerly waiting for your prompt reply with the requested details. Thank you for your assistance. Kind regards, [Your Name]",Billing and Payments,high,"Dear [Your Name], thank you for contacting our support team. I am pleased to assist you with the most recent pricing details for SAP ERP Central Component 6.0 licensing. However, to provide you with an accurate quote, I require additional information about your specific needs, such as your company size and anticipated usage. Could you please share this information with me? I am also happy to discuss this further with you via a phone call at a time convenient for you. Please let me know a suitable time to reach you at [tel_num].",dataset-tickets-multi-lang-4-20k.csv
Request for Software and Hardware Updates,"Respected customer support team, I am reaching out to request that our outdated software and hardware be updated promptly to enhance our digital marketing efforts and operational efficiency. This update is essential for boosting our team's productivity and maintaining our competitive edge in the market. I kindly request your assistance in expediting this process and offering the necessary support during the transition. I look forward to your swift response to this matter.",Service Outages and Maintenance,high,"Dear [Name], we have noted your request for software and hardware updates to improve digital marketing performance. We will expedite the process and provide the required support and guidance throughout the transition. To proceed, we may require further details from you, and we suggest scheduling a call at your convenience. Please indicate a suitable time at [Tel Num], or reply to this email for more information.",dataset-tickets-multi-lang-4-20k.csv
Support for Unauthorized Access Issue,"Respected Customer Support, I am contacting you to report an unauthorized access incident involving our medical records. Our team has identified a possible vulnerability in our MongoDB database and has already taken steps such as conducting a system scan with ESET, updating our Git repository, and installing Kaspersky antivirus software. Despite these actions, we still need your assistance to secure our database more effectively. Could you provide us with guidance on how to proceed and take additional security measures to prevent future unauthorized access? Your prompt response in this matter would be greatly appreciated. Thank you for your support.",Product Support,low,"We will supply you with guidance on securing your MongoDB database, encompassing best practices and further security measures to prevent future unauthorized access, and will reach out to you shortly for a detailed discussion.",dataset-tickets-multi-lang-4-20k.csv
