title,description,category,priority,resolution
Suspicious web traffic alerts,Firewall logs show that user workstation WS-112 is hitting known C2 (Command and Control) server domains. The traffic pattern suggests beaconing behavior occurring every 5 minutes. Please investigate this machine.,Security,Critical,Deep packet inspection confirmed malicious behavior. Machine was seized for forensic analysis and user account credentials were reset as a precaution.
Query failing with syntax error,I am trying to run a simple join but getting a 'Syntax error near )' message. I'm using SQL Server Management Studio. Here is the query: SELECT * FROM Users INNER JOIN Roles ON Users.id = Roles.user_id),Database,Low,Removed the trailing parenthesis causing the syntax error and provided the user with a formatted version of the query.
Adobe Acrobat Pro crashing on launch,My Acrobat Pro keeps crashing the second I open a PDF. I am running Windows 11 and this started after the latest Creative Cloud update. Event Viewer shows faulting module name: ntdll.dll.,Application,Medium,Performed a clean reinstall of Adobe Acrobat and disabled hardware acceleration settings.
Ethernet port dead on workstation 402,"My workstation doesn't show any lights on the NIC port. I have swapped the Cat6 cable with a known good one and tried a different wall jack, but I still have no link status on my HP EliteDesk.",Network,High,"Traced the wall jack to a faulty port on the Cisco Catalyst switch; moved the patch cable to a different, active switch port."
PostgreSQL replication lag,"The read-replica in the AWS us-east-1 region is lagging by over 5 minutes behind the primary node. We are running Postgres 13. System load is normal, but replication slots are showing large WAL accumulation. This is causing data inconsistency for our reporting dashboard.",Database,High,Cleared the orphaned replication slot and restarted the WAL sender process to sync the replica.
Volume mount point issue,The volume mounted at D:\Shares is not visible in File Explorer. Disk Management shows the volume as 'Offline' due to a policy conflict. Please resolve.,Storage,Medium,Changed the SAN policy from 'Offline Shared' to 'Online' using the Diskpart utility on the host.
Cannot export reports in PowerBI,I keep getting a 'Generic OLEDB error' when trying to export a report to PDF. I'm using the latest PowerBI desktop version. I need this fixed ASAP as the board meeting is in an hour.,Application,Critical,Updated the OLEDB drivers and verified permissions on the target network drive destination.
VPN gateway timeout,"Hey, whenever I try to connect to the corporate VPN using AnyConnect on Windows 11, it just hangs at 40% and eventually says 'The service provider was unreachable'. I've tried rebooting my laptop and resetting my Wi-Fi, but nothing changes. Please help.",Infrastructure,Medium,Reset user's profile on the RADIUS server and cleared cached certificates on the client machine.
Application total lockout,"It’s a bit inconvenient that the ERP system is throwing a 'Fatal Error 500' for every user in the building. I’m sure it’s just a minor glitch, but if someone could investigate, that would be wonderful.",Application,Critical,Deployed a patch to fix the memory leak causing the ERP service to hang.
Disk Latency on SAN,VMs hosted on LUN_03 are experiencing extreme latency during peak hours. The storage array dashboard indicates IOPS are hitting the ceiling. We need to move some workloads.,Infrastructure,High,Migrated high-IOPS database VMs to the SSD-tier storage pool to alleviate bottleneck.
External drive not mounting,"My 2TB Seagate drive is completely invisible on my MacBook Pro running Sonoma and I am beyond frustrated. I’ve wasted time swapping out every USB-C cable and testing every single port on this machine, and the drive still won't show up in Finder. I have a critical meeting this afternoon and I absolutely need the files on that drive. Fix this now.",Storage,Medium,Used Disk Utility to identify the partition map corruption and ran 'fsck_exfat' in Terminal to repair the file system structure.
Need access to Shared Drive HR_Dept,"Hi, I just started in the HR department today and I need access to the HR_Dept shared drive on the file server. My manager is Sarah Jenkins, if you need to verify this request. Thanks!",Access Management,Low,Verified approval from manager and granted read/write NTFS permissions to the user account.
Issue with MFA prompt,"Hey, I’m having some trouble with the Authenticator app on my iPhone 15—it’s not popping up with the push notifications for M365 logins. I’ve already tried restarting my phone and reinstalling the app, but still no luck. Any ideas?",Access Management,Medium,Removed the device from the user's MFA settings in Azure AD and prompted for a re-enrollment flow.
Jira dashboard widgets failing to load,Most of the widgets on my Jira dashboard are showing a 504 Gateway Timeout error. My team relies on these for sprint tracking. Is there a server-side issue?,Application,Medium,"Identified a stale browser cache issue; cleared cookies and cache for the Jira domain, which restored functionality."
Critical Error in AutoCAD,Fatal error during dwg file save operation: Unhandled Access Violation Reading 0x0000 Exception at 7ff81230h. This is happening on my primary workstation and I cannot lose this drawing. Please help immediately.,Application,Critical,Recovered the file from the .bak backup folder and ran a RECOVER command on the corrupted .dwg file to repair the database.
Database connection error in custom app,"The internal Inventory Management System is throwing a 500 error whenever we try to update stock. The log says 'Connection pool exhausted'. Please investigate, we have shipments going out today.",Application,Critical,Increased the maximum connection pool size in the application's configuration file and killed zombie processes on the SQL server.
Request to whitelist a new software tool,"Hey, I need to use this new automation script tool for my project. The security software is blocking it from running on my Linux machine (Ubuntu 22.04). Can you please whitelist it?",Security,Low,Reviewed the binary's hash and source origin. Added an exclusion rule for the specific file path in the endpoint security console.
SSD failure on workstation,"My computer blue-screened with a 'CRITICAL_PROCESS_DIED' error. Upon reboot, the BIOS is not detecting the Samsung 980 Pro NVMe drive. I have critical client files on there that aren't backed up.",Storage,Critical,SSD controller failed. Replaced drive under warranty and performed data recovery on the damaged NAND flash.
Production DB Connection Timeouts,Our application nodes (App-01 through App-05) are consistently failing to connect to the primary RDS instance (db-prod-01) with 'SQLState 08001: Unable to connect'. This started occurring at 03:15 AM EST after the scheduled maintenance window. We are seeing a spike in active connections reaching the max_connections limit.,Database,Critical,Increased max_connections parameter in the DB parameter group and cleared orphaned sessions blocking the connection pool.
"Guest Wi-Fi showing 'Connected, no internet'","We have constant complaints from visitors who can connect to the Guest network but never get the splash page. They are just stuck on ""Connected, no internet"" indefinitely. This is completely unacceptable and makes us look like amateurs. Please fix this immediately.",Network,High,The Captive Portal service had stalled on the firewall appliance; restarted the service and cleared the active session table.
Zoom audio failure,"Zoom isn't picking up my headset mic. The device is selected in the Zoom audio settings, but the input level bar doesn't move when I speak. Working on a Dell Latitude 5420.",Application,Medium,Updated the Realtek audio driver and granted microphone permissions in Windows Privacy settings.
Slow query on reporting dashboard,"I am writing to formally report a significant degradation in performance regarding the monthly sales report dashboard. While the system functioned within acceptable parameters yesterday, current load times have increased to approximately 30 seconds. Please investigate this latency issue, specifically checking for potential database locks or the need for additional indexing to restore optimal functionality.",Database,Medium,"Identified a missing index on the 'transaction_date' column. Ran an EXPLAIN ANALYZE, added the index, and query time dropped to 200ms."
Unable to map network drive,"I am trying to map Z: to our internal file server, but it keeps asking for credentials even though I'm on the corporate network. When I enter my password, it just says 'Multiple connections to a server or shared resource by the same user are not allowed'.",Storage,Low,Used 'net use * /delete' to clear existing persistent connections and re-established the drive mapping using the fully qualified domain name.
Database performance extremely slow after patch,"Ever since the OS patches were applied to the Oracle 19c database server on RHEL 8 last night, the application latency has spiked by 400%. The IO wait times are through the roof. This is affecting all users in the EMEA region and we need this looked at immediately.",Database,Critical,Identified a misconfiguration in the transparent huge pages settings post-patch; reverted to optimal kernel parameters.
Static IP conflict,We are getting alerts on the network management system regarding an IP conflict for 192.168.1.50. Two devices appear to be fighting over the same address. Please help identify them.,Network,Medium,Identified a rogue wireless router plugged into a wall jack by a user; disabled the port and confiscated the device.
Request for Jira project access,"Hey team, could you bump my permissions for the Project-X Jira board to developer access? I’m currently stuck in read-only and need to update my task statuses. Thanks!",Access Management,Low,Added user to the 'Dev-Team-Alpha' role within the Jira project permission scheme.
Office Wi-Fi password not working,I just got a new laptop and I'm trying to connect to the 'Office_Secure' network. It keeps saying 'Incorrect password' even though I know I'm typing it right. What's going on?,Network,Low,Removed the saved network profile on the laptop and re-authenticated using the user's domain credentials.
Minor flickering of server room lights,"The overhead lights in the server room have been flickering for a few minutes. Not a big deal, but thought I would mention it whenever someone has a spare moment.",Infrastructure,Critical,Dispatched electrical contractor to fix a faulty power phase causing voltage instability to the rack PDUs.
Physical security breach,"I witnessed someone tailgating into the secure server room area without scanning their badge. I don't know who it was, but they were wearing a vendor visitor badge.",Security,High,Reviewed security camera footage and confirmed the vendor was escorted by authorized personnel; noted for security awareness training.
Account lockout on domain controller,"My domain account is repeatedly locking out every 15 minutes. Event Viewer on my Windows 10 workstation shows Event ID 4740, but I haven't entered any incorrect passwords. I suspect a cached credential issue on a background service.",Security,High,Cleared stale credentials from Windows Credential Manager and updated the password for the mapped network drive service.
Password reset keeps failing,"I'm trying to reset my password using the self-service portal, but the security questions are not appearing. I've tried clearing my browser cache and using an InPrivate window. Help!",Access Management,Medium,Manually triggered a password reset link and updated the user's secondary recovery email in the system.
Unauthorized USB device detection,"Endpoint protection triggered an alert for an unauthorized mass storage device plugged into the workstation in the accounting office. The device was removed, but we need to ensure no data exfiltration occurred.",Security,High,Reviewed USB logs and confirmed no files were copied. Applied GPO to block non-approved hardware IDs.
Missing plugin in AutoCAD,My civil engineering plugin is missing from the toolbar after the latest update to AutoCAD 2024. I have a major deadline in two hours and I can't export my files without it. Frustrated that these updates always break my setup.,Application,High,Re-registered the plugin DLL in the AutoCAD registry and verified file paths in the AppData directory.
Application sluggishness for remote workers,The web application is fast in the office but unusable from VPN. Difficult to distinguish between poor VPN bandwidth and application design flaws.,Network,Medium,Implemented split-tunneling on the VPN to reduce latency for the application's traffic.
Strange sign-in activity,"I received an alert that my account was signed into from a location in a different country. I am currently in the office in Chicago. I have already changed my password, but please check my recent session logs.",Access Management,Critical,"Terminated all active sessions globally and reviewed sign-in logs, confirming it was a false positive triggered by a VPN exit node change."
Onboarding Request - New Hire,"We have a new developer joining the team on Monday. Please create their AD account, assign them to the 'Dev-Read-Only' group, and grant them access to the internal Git repository and Confluence wiki.",Access Management,Low,Created AD account and added the user to the requested security groups and application repositories.
User account termination,Please terminate access for John Doe immediately. Effective as of 5:00 PM today.,Access Management,Critical,"Disabled the user's AD account, revoked all O365 session tokens, and disabled their VPN access."
USB drive blocked,"I need to move some files to a thumb drive for a client meeting, but the system is blocking it. It keeps saying 'Device access restricted by organization policy'. This is really slowing me down.",Security,Low,"Explained data loss prevention (DLP) policy; provided encrypted, IT-approved hardware for the transfer."
Access Denied on project folder,I can't access the 'Marketing_Media' folder on the fileserver anymore. It keeps saying 'Access Denied' even though I've had access for months. Did something change with the permissions?,Storage,Medium,Found the user had been moved to a different Active Directory security group; restored membership to the correct file access group.
UPS Battery Fault - Server Room B,The APC Smart-UPS 3000VA unit in Rack 4 is beeping constantly and displaying a 'Replace Battery' (Error Code: F02) status on the LCD panel. We need someone to swap these units before the next scheduled maintenance window tomorrow.,Infrastructure,High,Technician arrived on-site and performed a hot-swap of the RBC55 battery cartridge.
Need more space on my local drive,"Hey guys, my laptop is full and I can't update Windows. Is there any way you can delete some old temp files or something for me?",Storage,Low,Ran Disk Cleanup and removed 12GB of cache files; advised user to use cloud storage for large media files.
Missing Excel Add-in,The custom company financial add-in disappeared after the Office update this morning. I really need this to finish the quarterly budget. Can you please check if it was disabled?,Application,Low,Re-enabled the COM Add-in via the Excel Options menu and updated the registry keys for Trusted Locations.
MAYDAY MAYDAY EVERYTHING IS GONE,"I cannot find my favorite stapler on my desk. Please escalate this to the Infrastructure lead immediately, this is an infrastructure crisis regarding my workspace organization.",Infrastructure,Low,Located stapler in the supply closet; redirected user to office supplies procurement.
"I AM GOING TO LOSE MY MIND, EVERYTHING IS RUINED","My browser history is showing a popup from three weeks ago. I need this cleared right now before I lose my job, this is a total security disaster!",Security,Low,Cleared browser cache and cookies.
Guest Wi-Fi portal not loading,Users are reporting that they can connect to the 'Guest_WiFi' SSID but the splash page never appears. Devices just say 'No Internet' and time out.,Network,Low,Restarted the WLC (Wireless LAN Controller) service and cleared stale sessions from the guest VLAN.
Possible unauthorized login,"I am formally reporting a suspicious sign-in event involving my Microsoft 365 account, originating from an IP address located in a region I am not currently visiting. Although I have proactively updated my account credentials, I remain concerned regarding the potential persistence of unauthorized active sessions and request a comprehensive review to ensure my account security has been fully restored.",Security,Critical,Revoked all active OAuth tokens and forced a global logout across all devices.
Salesforce login loop on Chrome,"I'm stuck in a login loop whenever I try to access Salesforce via Chrome 124.0 on Windows 11. It asks for my 2FA, redirects to the dashboard, and then immediately kicks me back to the login page. I've cleared my browser cache and cookies, but the issue persists.",Application,High,Resolved by clearing site-specific data for Salesforce and resetting the user's Chrome sync profile to remove corrupted session tokens.
Critical vulnerability patch needed,"My workstation has been flagged by the security department for utilizing an outdated version of Java. Due to current system restrictions, I lack the requisite local administrative privileges to perform the necessary update independently. I request that the IT department proceed with the mandatory update at your earliest convenience to ensure compliance with organizational security protocols.",Application,Critical,Pushed the Java 8 update 401 via SCCM to the user's workstation.
Brute force attempts observed,Our external-facing web server is seeing a massive spike in SSH login attempts from various foreign IPs. Logs show thousands of failed authentication attempts in the last hour. We need to lock this down immediately.,Security,High,Configured Fail2Ban to block offending IP ranges and restricted SSH access to our office VPN subnet.
ERP System throwing 500 internal server error,Our ERP web portal is throwing a 500 error for all users when trying to access the 'Inventory' module. We cannot fulfill orders. This is a total blocker.,Application,Critical,Identified a memory leak on the application server and restarted the IIS worker process for the ERP site.
Account locked out again!,"For the third time today, my domain account is locking me out again the second I try to sign into WS-IT-042. I am doing exactly what I do every other day, so I have no idea why this is suddenly a problem. I have a client demo in 20 minutes, so get this fixed right now—I cannot afford any more downtime.",Access Management,Critical,Identified a stale credential in Windows Credential Manager related to a mapped drive; cleared stored credentials and reset AD account.
ORA-00600 internal error during nightly batch,"While running our nightly ETL process on Oracle 19c (RHEL 8.4), the background job died with an ORA-00600: internal error code. Trace files indicate a corruption in the UNDO tablespace during a heavy update operation. This has delayed our morning data refresh significantly.",Database,High,Performed a block media recovery and rebuilt the corrupted UNDO tablespace segments.
Stuck process in PostgreSQL,"I have a 'VACUUM ANALYZE' process that has been running for 6 hours. Usually, this finishes in 20 minutes. It's on a PostgreSQL 14 instance running on RHEL 8.",Database,Medium,"Terminated a hung backend process that was holding an AccessExclusiveLock on the target table, allowing the vacuum to proceed."
Production DB Connection Timeouts,"Our main web application is throwing 'java.sql.SQLTransientConnectionException: HikariPool-1 - Connection is not available' errors intermittently. We are running PostgreSQL 14 on Ubuntu 22.04 LTS. The load balancer shows CPU usage is low, but the database connection pool is maxed out.",Database,Critical,Increased the max_connections setting in postgresql.conf and tuned the connection pool timeout parameters.
Connection refused in Java app,"Our Java application on node-04 is throwing 'Connection Refused' (java.net.ConnectException). We verified the firewall ports are open on the DB server, but netstat shows nothing listening on 3306.",Database,High,Restarted the database service which had hung after a kernel update.
VLAN tagging mismatch,"After the recent firmware update on the edge switches, the printers on VLAN 20 are not reachable from the workstations on VLAN 10. Looks like the inter-VLAN routing is failing. Please look into the switch trunk configuration.",Infrastructure,High,Corrected trunk port allowed-VLAN list to include missing VLAN 20 ID.
Database audit failure,The audit logs show a series of failed login attempts from an unknown internal IP address on the finance production database. The error code is 18456. We need to investigate if this is a potential security breach or a misconfigured service account.,Database,High,Traced the IP to a legacy server in the HVAC department that was incorrectly mapped to the finance DB server; reconfigured the legacy app settings.
Restore request for user 'jsmith',"Hi, I accidentally deleted the 'config_settings' table in the staging database on 'Dev-DB-02'. Could you please restore this from last night's backup? I am currently unable to test the new features.",Database,Medium,Restored the 'config_settings' table from the 02:00 AM full backup to a temporary schema for the user to export their data.
VPN Authentication Failure - Error 691,"I'm trying to connect to the corporate VPN from my Windows 11 laptop, but I keep receiving Error 691. I've verified my AD password is correct and I am not locked out of my email. This started immediately after the latest OS patch this morning.",Access Management,High,Reset the user's VPN profile in the gateway and cleared local cached credentials on the client machine.
VPN Authentication Failure - Error 691,"Hey, I’m having some trouble getting onto the corporate VPN on my MacBook (running macOS Sonoma). I keep getting an ""Error 691"" saying my credentials aren't recognized. I know my AD password is correct because I can log into the Outlook web portal with the same ones, so I’m not sure what's up. Could someone take a look?",Access Management,High,Reset the user's AD password sync in the Identity Provider portal and cleared the cached VPN credentials in the Keychain Access utility.
Unable to access internal Wiki,"I keep getting a 401 Unauthorized error when visiting the Confluence internal site. I’ve cleared my browser cache and cookies, but the issue persists.",Access Management,Low,User account was present in the system but had an expired session token. Cleared the active session in the database.
VOIP phones showing 'No Service',All 12 phones in the call center just lost connection at the same time. They are all cycling through 'Configuring...' and then showing 'No Service'. This is a disaster for our call volume.,Network,Critical,Restarted the voice VLAN voice-gateway service which had hung after a firmware update.
Docker Desktop failing to start,Docker won't start on my machine after a kernel update. It gives an error regarding WSL2 integration. My current WSL version is 2.0.1.0.,Application,High,Updated the WSL2 kernel component and enabled virtualization features in the BIOS as they were reset by the firmware update.
Help! Server room smells like ozone,I just walked into the server room and there is a faint burning smell near the rack containing the main database servers. I'm worried something is about to blow. Please send someone immediately.,Infrastructure,Critical,Discovered a failed cooling fan in the secondary power supply of the R740 server; replaced the PSU unit and cleared the hardware alarm.
Requesting export of user data,I need a CSV export of all users registered between Jan 1st and Feb 28th. Please exclude inactive accounts. I'll need this by EOD for the marketing team.,Database,Medium,Executed a T-SQL script to extract the data and uploaded it to the secure SFTP site.
Database login failing for new hire,"My new dev, Sarah, can't access the development SQL database. She has the same credentials as the rest of the team, but gets an 'Authentication failed' error. We are using Active Directory for authentication.",Database,Low,Added the user to the appropriate AD security group that grants login access to the database server.
Slack desktop notifications not appearing,"Slack desktop app on macOS is not showing any notifications, even though 'Do Not Disturb' is off. I checked system settings, and notifications are enabled for Slack. It's annoying because I keep missing messages from my manager.",Application,Low,Reset the Slack app data via the 'Help > Troubleshooting' menu and re-authorized system notification permissions.
Application crashing on startup,"Our accounting software, Sage 50, stopped opening after the latest Symantec Endpoint Protection update. Event Viewer shows error 0xc0000005 related to a memory access violation. It seems the AV is sandboxing the executable.",Security,Medium,Added the application directory to the Symantec exclusion list and performed a repair installation.
Need access to the Marketing shared drive,"I’ve been waiting forever for access to the 'Marketing_Assets' folder. My team lead already approved this, so I don't understand why I’m still blocked. Can you please just add me already?",Access Management,Low,Added user to the AD security group 'GRP_Marketing_Read_Access' as requested.
MFA prompt loop,"Hey, my Microsoft Authenticator app is stuck in a loop when I try to sign into Outlook. It asks for the number code, I enter it, and it just cycles back to the prompt. This is driving me crazy.",Security,Medium,Removed the user's MFA device from the portal and walked them through re-registering their smartphone via QR code.
Error 504 Gateway Timeout on reporting tool,Running the month-end report results in a 504 error. Could be a server timeout or a network proxy intercepting the long request.,Application,High,Increased the execution time limit in the application configuration to accommodate long-running SQL queries.
Antivirus alert on server SRV-04,CrowdStrike Falcon just flagged a suspicious process on SRV-04. The process is running out of Temp folders and is attempting to execute a PowerShell script with encoded parameters. I have isolated the server from the network to prevent lateral movement.,Security,Critical,Identified malicious script as a false positive from a legitimate internal deployment tool and restored service.
Need access to the Marketing Share Drive,"Hey! Just moved over from Sales and need access to the M:\Marketing folder. I can see the drive, but I'm getting an ""Access Denied"" error when I try to open it. Could you help me get that sorted?",Access Management,Low,Added user to the 'Marketing-Read-Write' Active Directory security group and requested a log-off/log-on.
Standard maintenance inquiry,The primary database server is physically on fire. I've evacuated the building. Just wanted to let you know so we can reschedule our meeting later today.,Database,Critical,Triggered failover to secondary datacenter and alerted emergency responders.
Printer connectivity,The printer is down.,Infrastructure,Low,Reconnected loose Ethernet cable at the wall jack.
Unauthorized software request,I'm seeing an app called 'Advanced System Optimizer' installed on my machine that I definitely did not authorize. It keeps telling me my registry is broken. Can you remove this?,Security,Medium,Uninstalled the Potentially Unwanted Program (PUP) via SCCM and performed a registry audit to ensure no persistent backdoors were created.
I can't reach the fileshare,"Hey, the server \\FS-PROD-01 is totally unreachable. I'm getting a timeout error when I try to map the drive. I've restarted my laptop but it didn't help.",Infrastructure,High,Reset the SMB service on the file server and cleared stale TCP connections from the firewall state table.
Authentication service unreachable,Users cannot login. The authentication service is failing to connect to the User DB. Is the database down or is the network link to the DB cluster severed?,Network,Critical,Restored DNS resolution for the database cluster load balancer.
Adobe Creative Cloud License missing,"Following the recent update to the Adobe Creative Cloud application on my macOS workstation, the software incorrectly indicates that my trial period has expired. This is in direct conflict with my active, company-provisioned enterprise subscription. Please investigate this authentication error and restore access to my licensed applications as a matter of urgency.",Access Management,Medium,Re-assigned Adobe CC license in the Admin Console and forced a sign-out/sign-in refresh on the local client.
Unable to connect to MongoDB,The app server keeps failing to handshake with the MongoDB cluster. The logs say 'Connection refused'. We checked the firewall and the port 27017 is definitely open on the app server side.,Database,High,"Discovered that the MongoDB bindIp setting in mongod.conf was restricted to localhost only, updated it to accept connections from the app server IP range."
Core Switch-01 Port Flapping,Port Gi1/0/24 on Core Switch-01 is showing intermittent link state changes. Logs indicate high CRC error rates and input drops every 15 minutes. This is causing micro-outages for the entire accounting subnet.,Infrastructure,High,Replaced the damaged Cat6a patch cable and cleared interface statistics; link stability verified.
MFA token loop,"I'm stuck in an infinite loop with the Authenticator app. Every time I approve the push notification on my phone, it kicks me back to the login screen on my desktop, displaying error AADSTS50011. I've restarted both devices, but nothing works.",Security,Medium,Cleared browser cache and session cookies. Synchronized time settings on the user's mobile device to resolve token timestamp mismatch.
Help! Table dropped by accident,I was working on the staging environment and accidentally ran a DROP TABLE command instead of TRUNCATE. I need the 'customer_audit_logs' table restored immediately. This is a disaster.,Database,Critical,Restored the table from the latest Point-in-Time Recovery (PITR) snapshot taken at 02:00 AM.
ASAP: Update font size on shared drive,"THIS IS A LIFE OR DEATH SITUATION! IF THE FONT SIZE ON THE 'SHARED_DOCS' FOLDER IS NOT INCREASED BY 2 POINTS IMMEDIATELY, THE ENTIRE INFRASTRUCTURE WILL DISINTEGRATE! PANIC!",Storage,Low,Adjusted Windows Explorer view settings to 'Large Icons' for the user.
Dust on the secondary cooling intake,I noticed a small amount of dust buildup on the vent. Please treat this as a high-priority incident as it could eventually impact hardware lifespan.,Infrastructure,Critical,Cleaned intake vent to prevent potential thermal throttling of critical storage array.
External SSD not recognized,"My Samsung T7 SSD isn't showing up in File Explorer when I plug it into my USB-C port. I've tried multiple cables, but my computer just acts like nothing happened. This drive has all my design assets on it.",Storage,Medium,Updated the USB host controller drivers in Device Manager; the drive was then detected and mounted successfully.
Locked out of AD account,"I am beyond frustrated. I’m locked out of my account yet again. I tried my password three times, and now it’s giving me the ""Account is locked due to multiple failed attempts"" error. This is the third time this week this has happened—can someone please actually fix this?",Access Management,Medium,Unlocked the AD account and cleared cached credentials on the user's workstation that were causing repeated lockout triggers.
Browser certificate warning,"Hey, is anyone else getting ""Your connection is not private"" errors (NET::ERR_CERT_AUTHORITY_INVALID) on every site in Chrome? Looks like my machine is missing the company root CA. Any tips on how to get that re-added?",Security,Medium,Re-pushed the Root CA certificate via Group Policy Object to the local certificate store.
Cannot open .dwg files in AutoCAD,AutoCAD 2024 is failing to open files directly from the network share. It works if I copy the file to my desktop first. It's really slowing down my workflow.,Application,Medium,Adjusted the trusted locations list in AutoCAD settings to include the network drive path.
Critical latency in SQL Management Studio,"SSMS is taking over 30 seconds just to expand a database node. My memory usage is fine, but the application is effectively unusable. This is impacting my deployment timeline.",Application,High,Cleared the SSMS environment settings and disabled the 'Auto-check for updates' feature which was causing network hangs.
Phishing email reported,"I am formally reporting a suspicious email received this morning, which appears to be a phishing attempt masquerading as an IT department communication. The message explicitly requests that I ""validate my mailbox"" by accessing an external hyperlink. Please be advised that I have refrained from interacting with the link, but I am submitting this incident for your immediate investigation and security review.",Security,Low,Confirmed email as malicious phishing attempt; added sender domain to the O365 blocklist and purged the email from all user mailboxes.
MongoDB authentication failure,"I'm getting 'Authentication failed' when trying to connect to the staging cluster. I verified my credentials, and they are correct. The logs show 'SCRAM-SHA-256' authentication failures.",Database,Medium,Reset the user's password in the MongoDB shell and verified their RBAC permissions were correctly applied to the specific database.
NAS drive showing offline status,My primary file server (NAS-04) is showing a red light on Bay 3 and is currently inaccessible to the team. The RAID 5 array is reporting a degraded state in the management console. I need someone to check the hardware and replace the drive immediately.,Storage,Critical,Replaced faulty Western Digital 8TB SATA drive; RAID rebuild initiated and completed successfully.
Single pixel discoloration on desk phone,THIS IS A DISASTER! THE DISPLAY ON MY DESK PHONE HAS A TINY DOT THAT IS THE WRONG COLOR! I CANNOT WORK UNDER THESE CONDITIONS! THIS IS AN ABSOLUTE NETWORK CATASTROPHE! HELP ME IMMEDIATELY!!!,Network,Low,Provided user with a new handset and recycled the old unit.
Deadlock errors increasing in frequency,"Users report records failing to update. Is this a network partition causing retry loops, or inefficient transaction locking in the DB?",Database,High,Refactored application transaction logic to minimize lock duration on shared rows.
Database connection reset errors,"Application logs show persistent 'Connection Reset' errors. Database administrators suspect network instability, while network admins suspect disk-bound database hangs.",Infrastructure,High,Replaced a faulty SFP module on the top-of-rack switch that was causing micro-outages for the database cluster.
VPN access keeps dropping,"My VPN connection to the office keeps cutting out every 15 minutes. I'm using the Cisco AnyConnect client on Windows 11. It's really killing my productivity today, can someone look into this ASAP?",Infrastructure,High,Identified conflicting MTU settings on the user's home ISP router; adjusted client-side VPN adapter settings to accommodate packet fragmentation.
GitHub SSO Loop,"When I try to sign into GitHub via Okta, I get stuck in a redirect loop. The browser console shows 'ERR_TOO_MANY_REDIRECTS' on the SAML assertion URL. I've cleared my Chrome cache and cookies already.",Access Management,High,Cleared the user's session data in the IdP and re-synced the user's email address attribute in the SAML assertion.
Error accessing SQL Server,My application is throwing a 'Login failed for user' exception when connecting to SQL Server 2019. I verified my permissions in SSMS and I definitely have db_datareader rights. Could you check the server-level mapping?,Access Management,Medium,Identified that the user's Windows login was not mapped to the specific database schema; mapping added and access granted.
Zoom audio driver error,My Zoom call keeps failing with error 10006. It says it can't detect a speaker output. I'm using a Jabra headset connected to my MacBook Pro M2.,Application,Medium,Updated the audio drivers in macOS system settings and re-selected the correct output device within the Zoom application settings.
Unexpected session termination,User is being logged out of the ERP system intermittently. Could be a session timeout policy configuration or a security feature detecting concurrent login sessions from different devices.,Security,Medium,Review session timeout settings and investigate logs for unauthorized concurrent login detection.
SSO login failure,"When I try to access the company dashboard via Okta, I receive a '400 Bad Request' error. I have cleared my browser cache and tried using Incognito mode, but the issue persists on Chrome 124.",Access Management,High,Found a mismatch in the SAML assertion attributes and updated the application integration settings in Okta.
Slow file save operations on shared drive,"Users report that saving large documents to the network drive takes a long time, often resulting in an 'Application Not Responding' error.",Network,Medium,Identified a congested network switch port; moved the file server uplink to a dedicated gigabit port.
Printer connectivity issues,The MFP in accounting stopped printing again. It says 'Network Error' on the screen. Help.,Infrastructure,Low,Assigned a static IP reservation in the DHCP server to prevent the printer from losing its address after a power cycle.
Slack not showing new notifications,"Slack on my MacBook Pro M2 is being super annoying. I'm not getting any push notifications for direct messages, even though my settings say they are on. I've restarted the app three times already.",Application,Low,Reset Slack notification preferences and verified that macOS Focus mode was not blocking the app.
Font size adjustment in Word,"PLEASE! I NEED THIS DONE YESTERDAY! THE FONT IN MY WORD DOCUMENT IS SIZE 11 AND I DESPERATELY NEED IT TO BE SIZE 12. THIS IS RUINING MY ENTIRE WEEK, PLEASE RESPOND ASAP!!!",Application,Low,Assisted user with changing the default font size in Microsoft Word settings.
Can't login to Jira,I'm getting a 403 Forbidden error when I try to log into the Jira instance using my SSO credentials. It was working fine yesterday. I'm using Chrome on macOS Sonoma.,Access Management,Medium,Synced user's Okta profile with the Atlassian cloud tenant to resolve attribute synchronization delay.
Cannot open files in AutoCAD,I keep getting 'Fatal Error: Unhandled Access Violation' when opening DWG files created in AutoCAD 2024. My PC meets all the system requirements. This is extremely frustrating as I have a deadline in two hours.,Application,High,"Installed the latest AutoCAD 2024.1.2 hotfix, which addresses memory leaks related to large file drawing handles."
Browser security warnings on internal portal,"Every time I access the intranet portal (intranet.corp.local), Chrome throws a 'Your connection is not private' error with NET::ERR_CERT_AUTHORITY_INVALID. It's making it impossible to check my pay stubs.",Security,Medium,Renewed expired internal SSL certificate on the intranet server and pushed updated CA root to user group policy.
Production DB slow queries,The site is running super slow today. Our DBAs checked the MariaDB 10.5 instance on Ubuntu 20.04 and found several 'Table scan' warnings in the slow query logs. It seems like a recent deployment missing some indexes.,Database,High,Identified two missing non-clustered indexes on the Transactions table and deployed a migration script to add them.
Backup server storage full,The Veeam backup server is reporting that the local repository is full. We haven't had a successful incremental backup in three days.,Infrastructure,Medium,Purged backups older than the 30-day retention policy and resized the VMDK virtual disk to accommodate growth.
